Journal,URL,journal_abbr,search_abbr
"2014, Number 45, May 22-24, 2014, Uppsala, Sweden",https://ideas.repec.org/s/ags/ssfesf.html,ssfesf,
4OR,https://ideas.repec.org/s/spr/aqjoor.html,aqjoor,
Ab Aeterno,https://ideas.repec.org/s/ris/aetern.html,aetern,
Abacus,https://ideas.repec.org/s/bla/abacus.html,abacus,
Abante,https://ideas.repec.org/s/pch/abante.html,abante,
Abstract and Applied Analysis,https://ideas.repec.org/s/wly/jnlaaa.html,jnlaaa,
Academic Journal of Applied Mathematical Sciences,https://ideas.repec.org/s/arp/ajoams.html,ajoams,
"Academic Journal of Business, Administration, Law and Social Sciences",https://ideas.repec.org/s/vrs/ajbals.html,ajbals,
Academic Journal of Economic Studies,https://ideas.repec.org/s/khe/scajes.html,scajes,
Academic Journal of Interdisciplinary Studies,https://ideas.repec.org/s/bjz/ajisjr.html,ajisjr,
Academic Journal of Law and Governance,https://ideas.repec.org/s/agx/agxajl.html,agxajl,
Academic Review of Humanities and Social Sciences,https://ideas.repec.org/s/ris/arhuss.html,arhuss,
"Academica Science Journal, Economica Series",https://ideas.repec.org/s/tig/journl.html,journl,
Academica Turistica - Tourism and Innovation Journal,https://ideas.repec.org/s/prp/jattij.html,jattij,
Academicus International Scientific Journal,https://ideas.repec.org/s/etc/journl.html,journl,
ACC Journal,https://ideas.repec.org/s/vrs/accjnl.html,accjnl,
Access Journal,https://ideas.repec.org/s/aip/access.html,access,
Accounting & Taxation,https://ideas.repec.org/s/ibf/acttax.html,acttax,
Accounting and Business Research,https://ideas.repec.org/s/taf/acctbr.html,acctbr,
Accounting and Finance Research,https://ideas.repec.org/s/jfr/afr111.html,afr111,
Accounting and Finance,https://ideas.repec.org/s/bla/acctfi.html,acctfi,
Accounting Education,https://ideas.repec.org/s/taf/accted.html,accted,
Accounting forum,https://ideas.repec.org/s/eee/accfor.html,accfor,
Accounting Forum,https://ideas.repec.org/s/taf/accfor.html,accfor,
Accounting History Review,https://ideas.repec.org/s/taf/acbsfi.html,acbsfi,
Accounting in Europe,https://ideas.repec.org/s/taf/acceur.html,acceur,
Accounting Perspectives,https://ideas.repec.org/s/wly/accper.html,accper,
Accounting Research Journal,https://ideas.repec.org/s/eme/arjpps.html,arjpps,
"Accounting, Auditing & Accountability Journal",https://ideas.repec.org/s/eme/aaajpp.html,aaajpp,
"Accounting, Economics, and Law: A Convivium",https://ideas.repec.org/s/bpj/aelcon.html,aelcon,
"Accounting, Organizations and Society",https://ideas.repec.org/s/eee/aosoci.html,aosoci,
ACCRA,https://ideas.repec.org/s/cai/accafc.html,accafc,
Acta Academica Karviniensia,https://ideas.repec.org/s/vrs/aakarv.html,aakarv,
Acta Agronomica Ovariensis,https://ideas.repec.org/s/ags/acagov.html,acagov,
Acta Carolus Robertus,https://ideas.repec.org/s/ags/hukruc.html,hukruc,
Acta Economica Et Turistica,https://ideas.repec.org/s/vrs/acectu.html,acectu,
Acta Informatica Pragensia,https://ideas.repec.org/s/prg/jnlaip.html,jnlaip,
Acta Marisiensis. Series Oeconomica,https://ideas.repec.org/s/pmu/oecono.html,oecono,
