journal,url,journal_abbr,search_abbr
AEA Papers and Proceedings,https://ideas.repec.org/s/aea/apandp.html,apandp,aerpp
American Economic Journal: Applied Economics,https://ideas.repec.org/s/aea/aejapp.html,aejapp,aejapp
American Economic Journal: Economic Policy,https://ideas.repec.org/s/aea/aejpol.html,aejpol,aejpol
American Economic Journal: Macroeconomics,https://ideas.repec.org/s/aea/aejmac.html,aejmac,aejmac
American Economic Journal: Microeconomics,https://ideas.repec.org/s/aea/aejmic.html,aejmic,aejmic
American Economic Review: Insights,https://ideas.repec.org/s/aea/aerins.html,aerins,aeri
American Economic Review,https://ideas.repec.org/s/aea/aecrev.html,aecrev,aer
American Journal of Health Economics,https://ideas.repec.org/s/tpr/amjhec.html,amjhec,ajhe
American Journal of Health Economics,https://ideas.repec.org/s/ucp/amjhec.html,amjhec,ajhe
American Law and Economics Review,https://ideas.repec.org/s/oup/amlawe.html,amlawe,aler
Brookings Papers on Economic Activity,https://ideas.repec.org/s/bin/bpeajo.html,bpeajo,bpea
Canadian Journal of Economics,https://ideas.repec.org/s/cje/issued.html,issued,cej
Econometric Reviews,https://ideas.repec.org/s/taf/emetrv.html,emetrv,er
Econometric Theory,https://ideas.repec.org/s/cup/etheor.html,etheor,ecot
Econometrica,https://ideas.repec.org/s/ecm/emetrp.html,emetrp,ecta
Econometrica,https://ideas.repec.org/s/wly/emetrp.html,emetrp,ecta
Economic Development and Cultural Change,https://ideas.repec.org/s/ucp/ecdecc.html,ecdecc,edcc
Economic Inquiry,https://ideas.repec.org/s/bla/ecinqu.html,ecinqu,ei
Economic Inquiry,https://ideas.repec.org/s/oup/ecinqu.html,ecinqu,ei
Economic Journal,https://ideas.repec.org/s/ecj/econjl.html,econjl,ej
Economic Journal,https://ideas.repec.org/s/wly/econjl.html,econjl,ej
Economica,https://ideas.repec.org/s/bla/econom.html,econom,ecoa
Economics of Education Review,https://ideas.repec.org/s/eee/ecoedu.html,ecoedu,eedur
Education Finance and Policy,https://ideas.repec.org/s/tpr/edfpol.html,edfpol,efp
European Economic Review,https://ideas.repec.org/s/eee/eecrev.html,eecrev,eer
Experimental Economics,https://ideas.repec.org/s/kap/expeco.html,expeco,ee
Explorations in Economic History,https://ideas.repec.org/s/eee/exehis.html,exehis,eeh
Games and Economic Behavior,https://ideas.repec.org/s/eee/gamebe.html,gamebe,geb
Health Economics,https://ideas.repec.org/s/wly/hlthec.html,hlthec,he
IMF Economic Review,https://ideas.repec.org/s/pal/imfecr.html,imfecr,imfer
International Economic Review,https://ideas.repec.org/s/ier/iecrev.html,iecrev,ier
International Economic Review,https://ideas.repec.org/s/wly/iecrev.html,iecrev,ier
International Journal of Game Theory,https://ideas.repec.org/s/spr/jogath.html,jogath,ijgt
International Journal of Industrial Organization,https://ideas.repec.org/s/eee/indorg.html,indorg,ijio
Journal of Applied Econometrics,https://ideas.repec.org/s/jae/japmet.html,japmet,jae
Journal of Applied Econometrics,https://ideas.repec.org/s/wly/japmet.html,japmet,jae
Journal of Banking & Finance,https://ideas.repec.org/s/eee/jbfina.html,jbfina,jbf
Journal of Business & Economic Statistics,https://ideas.repec.org/s/bes/jnlbes.html,jnlbes,jbes
Journal of Business & Economic Statistics,https://ideas.repec.org/s/taf/jnlbes.html,jnlbes,jbes
Journal of Demographic Economics,https://ideas.repec.org/s/cup/demeco.html,demeco,jdeme
Journal of Development Economics,https://ideas.repec.org/s/eee/deveco.html,deveco,jde
Journal of Econometrics,https://ideas.repec.org/s/eee/econom.html,econom,joe
Journal of Economic Behavior & Organization,https://ideas.repec.org/s/eee/jeborg.html,jeborg,jebo
