_id,评论内容,喜欢的菜,发布时间,用户总分,用户打分
{'$oid': '665dad93206d76c065d5ba10'},-☁☀️🎶⛱️ 今天也是一枚普通的女子 一如既往地热爱生活🌿“境随心转” 把自己变成糖，生活就甜了 隐藏在西北湖的一处小清新，要不是闺蜜带着都不知道的地儿。环境优雅，很有人气，常常没有位置。口感不错，其实品的是种意境，一种氛围。,[],2024-04-02 21:55,4.0,"{'口味': '4.0', '环境': '4.0', '服务': '4.0'}"
{'$oid': '665dad93206d76c065d5ba10'},一家隐藏在中古店里的咖啡馆，咖啡店面整体位置不大，但是很精致，各式各样的杯子供选择，每一个都好好看，店里小姐姐都非常有礼貌。,['冰美式'],2023-11-28 17:39,4.0,"{'口味': '3.5', '环境': '3.5', '服务': '4.5'}"
{'$oid': '665dad93206d76c065d5ba10'},[薄荷]环境： 去的时候人还挺多的，基本都坐满了，只有外面还有一个桌子。整个店设计风格还挺好看的。 口味： 点了两杯店员推荐的咖啡☕️口感不错～  外面铺了石子路比较适合拍照，里面好像有个古着店是一起的，也没进去逛，就坐着跟朋友喝了下咖啡聊聊天。也挺舒服的～,"['巴斯克焦烧芝士', '扁桃仁拿铁']",2023-10-10 16:52,4.5,"{'口味': '4.5', '环境': '4.5', '服务': '4.0'}"
{'$oid': '665dad93206d76c065d5ba10'},花园道这一条真的很值得多逛逛，每次去都会发现不一样的景色。  这家咖啡厅在一个小院子里，进门第一家就是。  店里看着不大但是跟旁边的中古店连着的，去的时间刚营业，桌子上好多花花，还以为是间花店..hhh  老板娘说是刚买了。还没来得及整理，叫我随便坐。我一个人去的还比较拘谨。不过店员妹妹和老板娘都挺热情的。,[],2023-08-03 09:51,5.0,"{'口味': '5.0', '环境': '5.0', '服务': '5.0'}"
{'$oid': '665dad93206d76c065d5ba10'},📍位置： 西北湖路13号 [薄荷]环境： 和一家中古店是连通的店面不大室内三张桌子也可以选择坐在室外 [服务铃]服务： 咖啡师小姐姐很友好饮品可以选择杯子都是店主收藏的但是仅限在室内用哦 出品： 「冰拿铁」杯量不大味道中规中矩拉花好看,['冰拿铁'],2023-07-30 16:53,4.5,"{'口味': '4.5', '环境': '4.5', '服务': '5.0'}"
{'$oid': '665dad93206d76c065d5ba10'},和朋友约在花园道附近，偶然走进来发现是家小咖啡馆，咖啡说实话蛮普通的，当然价格也比较便宜，店主人蛮好的，温温柔柔的女孩子，感觉开这样的一家店也不是为了赚钱，花了心思布置，只是为了让自己有个呆着舒服的地方吧。,[],2023-08-02 17:29,4.0,"{'口味': '3.0', '环境': '3.5', '服务': '4.0'}"
{'$oid': '665dad93206d76c065d5ba10'},咖啡味道还不错，店内也很适合拍照打卡。,"['巴斯克焦烧芝士', '冰美式', '厚椰乳拿铁']",2023-09-21 11:20,5.0,"{'口味': '5.0', '环境': '5.0', '服务': '5.0'}"
{'$oid': '665dad93206d76c065d5ba10'},老板娘超级温柔，自己带的小蛋糕，借了一个盘，超级安静，和朋友在店里玩了半天，推荐推荐,[],2023-08-21 11:14,5.0,"{'口味': '5.0', '环境': '5.0', '服务': '5.0'}"
{'$oid': '665dad93206d76c065d5ba10'},喜欢他家的杯子收藏据说是日本定制,[],2023-10-10 14:11,4.5,"{'口味': '5.0', '环境': '4.5', '服务': '4.5'}"
{'$oid': '665dad93206d76c065d5ba10'},[薄荷]环境：超多好看的杯子和惊喜～,[],"2023-08-13
  更新于2023-08-14 00:42",5.0,"{'口味': '5.0', '环境': '5.0', '服务': '5.0'}"
