_id,评论内容,喜欢的菜,发布时间,用户总分,用户打分
{'$oid': '665dad89206d76c065d5ba0e'},昨天get的超好吃的虎皮盒子绝美味搭配，今天刚好在附近，就为了这口，下着雨抱着娃打着伞真的不容易啊，哈哈哈。（双层虎皮+黑芝麻奶酪+抹茶奶油+奥利奥+海苔肉松） 还买了店员推荐的肉松蛋糕，芋泥奶酪球，肉松奶酪球。好期待啊～ 下次再去吃就问问订制欧包怎么买 店面比街道口的那家小，种类好像也不少，店员说话很快，是个急性子，不过业务很熟悉，估计平时不下雨的时候人流量不少，被锻炼出来了。哈哈哈。 本次消费40+，虎皮盒子20+，奶酪球11+，肉松蛋糕9+～买完单意外多了一个小面包，哈哈哈，偏甜。,"['定制虎皮盒子', '香葱肉松蛋糕卷']","2024-05-30
  更新于2024-05-31 19:58",4.0,"{'口味': '4.0', '环境': '4.0', '服务': '3.5', '性价比': '4.0'}"
{'$oid': '665dad89206d76c065d5ba0e'},让我想再去一次武汉的冲动！ 佳哥你真的不能来杭州么！！！ 冒着大雨在江汉路排了1h 定制了一个「定制虎皮盒子」 抹茶奶油+芋泥+麻薯+奥利奥单层虎皮 抹茶奶油太美味了！！！  「抹茶奶冻虎皮卷」这个也很好吃！ 但是茉莉抹茶那款就一般般！  「芋泥芝士丸子」里面的奶酪很绵密很扎实  「香葱火腿卷」这个有点一般般  「抹茶奶油麻薯球」三个口味的麻薯球都买了咖啡的最好吃！！！  还瞄到了边角料问了收银员5r就拿下来！ 好幸福的武汉人民啊,"['定制虎皮盒子', '虎皮卷', '抹茶奶冻虎皮卷']",2024-05-28 13:11,5.0,"{'口味': '5.0', '环境': '5.0', '服务': '5.0', '性价比': '5.0'}"
{'$oid': '665dad89206d76c065d5ba0e'},我们周六下午五点左右到达江汉路步行街那边的店，正好那个点不要排队 现场搜小红书随便选了一款定制盒子 麻薯，紫米，流沙，肉松，抹茶奶油＋一层虎皮 还随便点了两个麻薯球，黑芝麻流沙＋抹茶奶油奥利奥 我们第二天早上才吃，还是爆炸好吃，甜度刚刚好一点不会腻，是食物本身的味道 如果我再去武汉一定是因为想吃这个了,['定制虎皮盒子'],2024-05-27 21:48,5.0,"{'口味': '5.0', '环境': '5.0', '服务': '5.0', '性价比': '5.0'}"
{'$oid': '665dad89206d76c065d5ba0e'},武汉甜品打卡——纯坊佳哥手作 「芋泥麻薯球」 芋泥好清淡有点一般 「黑芝麻流沙麻薯球」 这个是这次吃到的全场最佳黑芝麻醇厚蛋黄流沙也很香 「抹茶奶油麻薯球」「酸奶爆浆麻薯球」「咖啡爆浆麻薯」 买了三种口味的奶油麻薯酸奶咖啡抹茶都一般比较腻口奶油应该是植物奶油酸奶算是全场最佳了 「咸蛋黄肉松饼」 这个也还可以朋友觉得会比较干噎,[],2024-06-01 17:04,3.0,"{'口味': '3.0', '环境': '3.0', '服务': '3.0', '性价比': '3.0'}"
{'$oid': '665dad89206d76c065d5ba0e'},每天都排队⁉️老人家也来凑凑年轻人的热闹  [薄荷]环境： 佳哥在江汉路有家店，但凡路过都排队。。。好奇害死猫🐱于是在一个要下雨的时间来排队，前后差不多一个小时⏰  口味：原料： 「抹茶奶冻卷」抹茶味正，会有点微苦，介意的别买，喜欢的无脑冲，奶冻Q弹软滑。 「定制虎皮盒子」特色必买款，于是也点了，加了芋泥、紫米、流沙，分量足，味道按个人喜好自己选择，店员添加到里面。 「麻薯布丁」馅料足，个头大，不会甜腻🏻 「咖啡爆浆麻薯」这个我最喜欢，后悔买少了,"['定制虎皮盒子', '咖啡爆浆麻薯']",2024-05-07 22:17,4.5,"{'口味': '4.5', '环境': '4.5', '服务': '4.5', '性价比': '4.5'}"
{'$oid': '665dad89206d76c065d5ba0e'},[薄荷]环境: 位置在江汉路步行街中国黄金的旁边，店铺还挺大的，很好找。 只能打包不能堂食。 点盒子的时候店员会拿一个小卡片记录，由后厨现场做完到收银处取餐，产品几乎都是称重计价。整个流程非常流畅，店员动作也很麻利。 「定制虎皮盒子」海苔肉松黑芝麻核桃紫米流沙定制虎皮盒子21.96元。 这个搭配虽然有点干噎，但是真的很好吃。特别是里面的黑芝麻非常醇香。上面的海苔肉松也是很脆，冷藏一天也不会软掉，可以媲美鲍师傅了。就是紫米有点多余可以换芋泥或者麻薯应该更好吃。 「芋泥奶酪球」6.16元。 芋泥是纯芋泥，非常细腻而且没有加糖。中间的奶酪也是纯纯的安佳奶酪没有任何调味，酸咸口。也属于比较噎的，吃不习惯的朋友可以点别的口味。 他们家的原料大部分没怎么加工，相对比较健康。,['定制虎皮盒子'],2024-04-21 12:37,4.5,"{'口味': '4.5', '环境': '5.0', '服务': '5.0', '性价比': '5.0'}"
{'$oid': '665dad89206d76c065d5ba0e'},家人们！终于知道为什么去武汉一定要买佳哥！便宜又好吃，这排队谁不愿意啊！ [樱花]性价比： 买了四盒才不到40元，谁懂啊！这个价格也太香了！后悔没多买几盒！佳哥的奶油都好好吃，是那种很奶油的丝滑，一吃就是好的奶油！口感非常细腻而且不甜！每个味道都刚刚好[点赞][点赞]太厉害了 「抹茶奶冻虎皮卷」喜欢抹茶的朋友一定无脑冲！这款抹茶保留本身的苦味，虎皮卷是微甜的刚刚好综合一起，不喜欢甜的朋友买这款没错 「斑斓椰子蛋糕」这款最爱！上面一层的椰子碎加上清新的斑斓蛋糕，一个人吃一盒都不够，特别香甜软糯，入口即化的感觉 「香葱火腿卷」这个适合重口的朋友，肉松比较咸一点！ 「抹茶奶油麻薯球」同款喜欢抹茶的朋友可以无脑冲了！,[],2024-05-07 22:59,5.0,"{'口味': '5.0', '环境': '5.0', '服务': '5.0', '性价比': '5.0'}"
{'$oid': '665dad89206d76c065d5ba0e'},偶遇这家店，想到好几年前的网红店啦！排队人不多，就直接买了二个定制盒子啦！属于招牌款！第一个盒子➕抹茶，奥利奥碎！抹茶建议一个小时内吃完或进冰箱，易化，尝了口，淡清香的抹茶味，不腻，不甜，不错！冷藏后口感更好！第二个盒子➕黑芝麻+原味肉松，浓香黑芝麻，好吃😋，个人偏咸口！喜欢脆脆的可以➕海苔肉松！偶尔吃吃可以，用料扎实，价格美丽！,['定制虎皮盒子'],2024-05-18 15:36,4.5,"{'口味': '4.5', '环境': '4.5', '服务': '4.5', '性价比': '4.5'}"
{'$oid': '665dad89206d76c065d5ba0e'},刷到很多推荐于是到武汉第一口就是佳哥 本来不抱什么期待手作店铺天盖地 看到价格还是蛮惊讶的总体来说性价比非常高 「抹茶奶冻虎皮卷」其他店可以卖28了吧 蛋糕体绵软奶冻奶油都主打健康不甜腻 因为没有冰箱胃口有限没有尝试盒子和麻薯 只能买一点耐储存的 唯一的缺点是人一多排队取东西还蛮混乱的 肉松老婆饼推荐非常扎实的一个,['抹茶奶冻虎皮卷'],2024-05-15 00:52,4.5,"{'口味': '5.0', '环境': '4.5', '服务': '4.5', '性价比': '5.0'}"
{'$oid': '665dad89206d76c065d5ba0e'},去江汉路必买佳哥，几年前体重管理时佳哥家是我唯一敢吃的面包店。那时经常买的是他家的全麦面包，魔芋蛋糕，虽说无糖无油，除啦非常干以外与其他面包无异。猪瘾犯了正好解馋。 五一当天江汉路人山人海，佳哥家大排长龙。我耐心的等待，终于快到了，我就在想点什么东西，免得到我了再点会耽误时间。我要了蔓越莓麻薯和抹茶麻薯，斑斓蛋糕，虎皮盒子，奶酪球，肉松咸蛋黄饼。虎皮盒子我要的麻薯肉松流沙的。忘记拍照瞬间炫完了。斑斓蛋糕很好吃，淡奶味浓郁，奶油柔滑味道带一点茶苦。我很喜欢。麻薯不甜，肉松咸蛋黄饼非常好吃，肉松特别多特别扎实。 佳哥家的糕点真的吃着没有负担，能吃出来用料好，少油少糖。而且价格比武汉本土其他蛋糕店便宜。这应该就是佳哥风靡武汉三镇的原因吧。 照片少是因为都吃得差不多了才想起来要评论。其实随便买也不会踩雷。很遗憾我一直没吃到过佳哥家欧包。这个五一假期横竖要去买到。,"['定制虎皮盒子', '蔓越莓味麻薯', '巧克力小麻薯', '芋泥芝士丸子', '咸蛋黄肉松饼', '芋泥黑芝麻流沙肉松虎皮盒子', '无油无糖黑麦', '抹茶麻薯', '全麦面包']",2024-05-03 09:32,4.5,"{'口味': '4.5', '环境': '4.5', '服务': '4.5', '性价比': '4.5'}"
{'$oid': '665dad89206d76c065d5ba0e'},终于吃到黑虎皮了！！！ 一直都是👀别人吃黑虎皮，奈何各种原因，一直没吃到，终于有机会预定到了 🌸黑虎皮➕麻薯➕奥利奥➕抹茶奶油➕海苔肉松 这个是看评论中草的，这个是谁想出来的，太好吃了！！！第一口就爱上了，我本身是不爱抹茶的，但是佳哥的抹茶是真的好吃，微苦，茶味，加上奥利奥是绝配 敲黑板，佳哥的抹茶和黑芝麻都非常棒，做盒子做虎皮卷做麻薯球都很赞，这个盒子17块钱，性价比绝绝子 🍀芋泥可可魔芋卷，这个没吃过，第一次吃，第一口，没味道，没有任何味道，口感有点偏干，如果吃惯那种普通面包的这个肯定不习惯，虽然谈不上味如嚼蜡，但是也谈不上好不好吃，只能说能不能接受。这个吃了一半才隐约有种食物本身的香味，慎点。  #爱上了中式下午茶,[],2024-05-03 07:31,4.5,"{'口味': '5.0', '环境': '4.5', '服务': '5.0', '性价比': '4.5'}"
{'$oid': '665dad89206d76c065d5ba0e'},佳哥手作在武汉也算是连锁店。仅仅江汉路就开了两家。可以说明他的受欢迎程度。 这家位于江汉路步行街和中山路的交叉点上。交通很便利，地铁2号线直达。 家里的小朋友很喜欢，特意从武昌到这家店来。她排队的时候，我站在店角落里刷手机。有人在我身边放了一张凳子，说坐着休息会儿吧，就走开了。只看到一个背影，也不知道是店员还是什么人。让人感觉很温暖。,[],2024-03-07 13:27,4.5,"{'口味': '4.5', '环境': '4.5', '服务': '5.0', '性价比': '4.5'}"
